condition_id,dataset,task,layout_id,data_size,primary_metric,primary_value,secondary_metric,secondary_value
2b,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.63417044772542064,macro_f1_unique_validation_voxels,0.75076519988401513
2b,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.52606391062282765,macro_f1_unique_validation_voxels,0.65862897837170653
2b,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.61092594560528268,macro_f1_unique_validation_voxels,0.72962487549992316
2b,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.66333124059742699,macro_f1_unique_validation_voxels,0.77178923455614423
2b,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.49289382912508284,macro_f1_unique_validation_voxels,0.60491589190876793
2b,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.55051842468424905,macro_f1_unique_validation_voxels,0.65334580552940469
2b,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.65584405451830396,macro_f1_unique_validation_voxels,0.76710787189677987
3,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.37270585263925343,macro_f1_unique_validation_voxels,0.51353723722257438
3,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.42274318606616651,macro_f1_unique_validation_voxels,0.56566138912927133
3,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.544965833189483,macro_f1_unique_validation_voxels,0.68952637808246653
3,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.30874140616942108,macro_f1_unique_validation_voxels,0.42761658765721794
3,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.37630512250039277,macro_f1_unique_validation_voxels,0.50944286955723117
3,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.52510743002539206,macro_f1_unique_validation_voxels,0.66930191325877197
3,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.37414417149450152,macro_f1_unique_validation_voxels,0.50769604713222571
3,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.45777139157570618,macro_f1_unique_validation_voxels,0.59891811054498056
3,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.49580968522841018,macro_f1_unique_validation_voxels,0.64796458946993007
3,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.42212639753387576,macro_f1_unique_validation_voxels,0.5645570365277478
3,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.45955768261602348,macro_f1_unique_validation_voxels,0.60468006108866745
3,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.49572397509467431,macro_f1_unique_validation_voxels,0.63933949359617681
3,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.35506128793556185,macro_f1_unique_validation_voxels,0.48779354762414728
3,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.36643542096711296,macro_f1_unique_validation_voxels,0.48650173158168403
3,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.44191590283871268,macro_f1_unique_validation_voxels,0.58966342858534138
4a,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.38395602772489479,macro_f1_unique_validation_voxels,0.52688204861427457
4a,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.42451427543848452,macro_f1_unique_validation_voxels,0.55681012230353333
4a,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.5392365074687463,macro_f1_unique_validation_voxels,0.68019148256443185
4a,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.32128548823207004,macro_f1_unique_validation_voxels,0.45409216737011321
4a,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.36474465855313726,macro_f1_unique_validation_voxels,0.5065500544080449
4a,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.54424766991136331,macro_f1_unique_validation_voxels,0.68348916035010454
4a,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.38973732209145723,macro_f1_unique_validation_voxels,0.5260820558001188
4a,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.47859502500307344,macro_f1_unique_validation_voxels,0.6215659066467526
4a,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.51555870587273278,macro_f1_unique_validation_voxels,0.66088220285773347
4a,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.42940991714763427,macro_f1_unique_validation_voxels,0.57073383397420285
4a,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.47868616335513181,macro_f1_unique_validation_voxels,0.61878194672201337
4a,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.49785991705239202,macro_f1_unique_validation_voxels,0.64277518631980002
4a,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.36510797631915071,macro_f1_unique_validation_voxels,0.49746801133004448
4a,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.39880402289739142,macro_f1_unique_validation_voxels,0.52735352361440169
4a,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.43618927783176725,macro_f1_unique_validation_voxels,0.58903380368993197
4b,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.3657108776125863,macro_f1_unique_validation_voxels,0.50436464909314538
4b,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.43176699234416499,macro_f1_unique_validation_voxels,0.56860432546581341
4b,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.53127667749433616,macro_f1_unique_validation_voxels,0.67373312289368448
4b,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.32483942642507063,macro_f1_unique_validation_voxels,0.44974142843254811
4b,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.38595045236218489,macro_f1_unique_validation_voxels,0.51113312334469441
4b,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.53471537059238639,macro_f1_unique_validation_voxels,0.67810649328536821
4b,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.39080870012449959,macro_f1_unique_validation_voxels,0.52505538033733445
4b,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.47274306130183991,macro_f1_unique_validation_voxels,0.61625130984845844
4b,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.52509344519270373,macro_f1_unique_validation_voxels,0.66790790771422837
4b,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.43145668993368075,macro_f1_unique_validation_voxels,0.56858609465730447
4b,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.47861532707273019,macro_f1_unique_validation_voxels,0.61396721720362413
